#{"t_start": 1773411506.6120589, "env_id": "None"}
r,l,t
4765.328409,606,22.727656
6990.131674,907,27.490098
5812.500263,742,37.758593
3433.431322,433,40.110512
4639.740091,594,43.318583
4809.397787,624,46.611891
6500.946273,809,57.198326
4527.684693,573,60.293892
4545.048556,576,63.209188
4666.79204,589,72.586882
4737.152652,613,75.891973
6196.768512,777,80.085588
7036.502009,891,91.220712
4850.733609,617,94.629849
7026.567174,973,106.234028
6790.928199,852,110.751697
7714.49151,1000,116.228698
4926.948057,622,125.90116
4687.983927,584,129.049118
2295.71635,295,130.682025
7591.066476,958,142.112677
3400.237634,419,144.341861
3529.595439,442,146.791908
4475.619768,569,149.912441
7971.545577,1000,161.644735
6340.543536,797,166.083272
3529.442809,440,168.545561
4841.995554,615,178.381898
3023.639301,374,180.28884
3531.759008,438,182.553344
4676.619818,590,185.834997
7969.088788,1000,197.260046
2287.556261,290,198.806603
5146.026733,635,202.247672
8024.684766,1000,214.122635
4660.649591,574,217.552189
5602.484554,726,221.705759
7077.144431,885,234.240249
6515.691977,815,238.988183
7589.648931,947,251.396367
7960.749417,1000,257.35821
2526.57693,327,259.291715
2801.552393,351,267.936776
7837.132481,993,273.48812
2669.42352,343,275.339485
8169.613007,1000,287.036455
5906.705098,728,291.068186
8212.60307,1000,302.892235
8259.140845,1000,308.492488
4866.782429,588,311.710899
4701.684046,590,321.110888
8242.484289,1000,326.563661
8168.810731,1000,338.263773
8227.562733,1000,343.828253
5060.365084,618,347.294399
7501.603644,919,358.611483
8167.204174,1000,364.032749
7396.586647,914,375.330553
7217.660232,879,380.101963
4102.894746,495,382.863391
5190.97008,628,392.70969
8256.627936,1000,398.1989
3553.415039,430,400.459313
4877.062628,596,410.159215
8228.824835,1000,415.699092
7491.909139,910,427.559707
4011.375865,483,430.157716
8151.632417,1000,435.512342
8245.060082,1000,447.338251
8307.433026,1000,452.802594
7161.698176,892,463.990001
6344.012893,768,468.630317
5242.271943,637,478.519799
4887.139027,592,482.021801
4971.972214,605,485.393442
3642.866453,442,487.764818
8324.18408,1000,500.028266
5120.991584,628,503.504588
5317.073324,644,507.194609
6215.525284,751,517.699933
3595.783816,433,520.121946
4597.389521,548,523.120424
8410.284919,1000,535.466313
8271.726114,1000,541.34654
3485.332976,423,543.721597
5992.702938,719,555.142909
7893.055846,952,560.832646
5103.81848,618,571.960339
8391.232868,1000,578.020813
8343.483662,1000,591.076074
8309.331868,1000,596.805937
7341.325027,889,602.130726
8349.087889,1000,614.377944
7645.671521,922,619.73448
7581.21676,906,631.098397
8138.309931,1000,636.671315
8385.125133,1000,648.862469
8353.930687,1000,654.372811
8386.407233,1000,666.327379
6394.109561,764,670.731183
7910.83125,945,682.316291
8406.082823,1000,687.987147
8379.428034,1000,699.806979
5692.503161,686,703.699134
7984.363187,958,708.943714
8479.999624,1000,720.935085
6377.957274,769,725.190279
8422.363894,1000,737.273095
6369.400343,755,741.388235
