#{"t_start": 1773406361.2181752, "env_id": "None"}
r,l,t
591.470918,151,25.026365
800.434898,226,26.315432
576.600118,147,27.644918
560.020758,143,28.469699
855.843526,241,29.769997
811.756242,226,31.078707
838.041845,238,32.424107
589.713872,151,33.237396
530.001217,139,34.031764
811.852495,226,35.256345
814.86771,228,43.188282
543.868678,140,43.940711
592.962034,151,44.749244
558.304802,145,45.493325
595.78601,152,46.271761
557.534116,144,47.047893
866.290966,237,48.319137
823.009553,233,49.53661
526.410938,135,50.287013
569.459441,146,51.098004
787.88518,188,52.063918
847.637164,232,53.331072
589.598476,149,60.413039
830.406069,234,61.602254
553.543918,142,62.365356
805.570241,226,63.571362
815.236599,224,64.791826
826.125449,235,66.098565
882.314876,247,67.372951
801.679746,223,68.572891
918.442521,249,69.847616
817.131601,230,77.444541
878.7538,239,78.711135
805.150534,225,79.935633
798.122137,224,81.089061
798.139336,222,82.318612
567.787659,146,83.054833
887.878557,242,84.305014
579.256919,149,85.123861
610.954635,157,85.973503
896.259587,244,87.246549
802.234617,221,94.74579
802.548743,222,95.894425
1002.712346,268,97.332085
810.840758,228,98.496748
859.130885,235,99.698189
842.244107,237,100.978833
1082.11199,281,102.400469
816.947364,229,103.582109
809.39773,224,104.736139
539.823491,139,111.805503
590.37692,150,112.609062
798.678793,224,113.770307
906.127552,257,115.120458
860.959417,233,116.371876
815.840819,230,117.66576
913.187264,256,118.95771
657.808353,163,119.818365
918.171642,259,121.220165
579.621595,148,121.999541
564.815446,146,129.081205
564.58862,145,129.871416
843.84943,236,131.119366
804.662256,228,132.255106
581.511226,148,133.030652
576.137863,148,133.80923
817.029352,228,135.032828
871.40311,236,136.284865
804.004218,225,137.454854
816.733985,227,138.599422
878.705571,240,146.191216
856.281112,235,147.444859
823.952832,229,148.656483
801.389097,223,149.842724
887.826135,241,151.143867
920.994212,252,152.495003
816.742895,229,153.701877
920.76043,247,154.976369
803.228929,224,156.130203
801.439795,226,163.578406
545.35844,140,164.377397
567.146537,146,165.154607
572.023869,147,165.997194
666.576824,164,166.835623
841.545485,230,168.087886
825.108537,226,169.239635
844.624761,232,170.472428
926.365441,259,171.779241
796.732965,222,172.926649
567.860207,146,180.089889
814.150562,228,181.251391
