#{"t_start": 1773406361.2181752, "env_id": "None"}
r,l,t
856.87598,234,182.493939
629.146196,157,183.315854
518.61813,132,184.095262
575.963379,147,184.990228
804.785144,222,186.224693
541.620623,139,186.999885
804.533772,223,188.194781
814.825278,227,189.413096
552.81937,142,190.270348
796.295084,223,198.236827
820.376916,226,199.528029
815.565564,228,200.759934
1053.17009,276,202.287417
807.939226,229,203.561746
934.011088,262,204.97289
795.646522,223,206.306879
832.24967,230,207.566886
841.553035,237,208.879758
979.482225,262,216.74797
829.588179,229,217.964615
966.484061,259,219.320108
576.526111,146,220.10314
603.080781,152,220.930116
825.474141,228,222.232612
852.962485,236,223.46809
526.284865,135,224.204774
566.821164,146,224.949655
807.462221,225,226.092768
580.862643,149,233.59102
823.075534,231,234.854357
817.120211,228,236.148998
836.29521,229,237.44342
814.536229,225,238.64065
805.021646,225,239.841829
799.002771,220,241.020736
825.608015,232,242.213016
799.395559,223,243.360986
814.063444,228,250.980627
608.576555,154,251.80832
808.115679,224,253.076381
562.880841,144,253.797101
811.765441,223,254.962525
534.472195,137,255.75285
620.154148,155,256.521985
911.42015,257,257.894006
562.650665,144,258.668564
820.847807,226,259.981091
623.583305,157,260.799418
799.010957,223,268.428519
853.694024,235,269.573296
793.722116,220,270.734045
634.618918,159,271.554734
806.194237,223,272.755477
807.305859,225,273.974446
966.185323,258,275.248602
923.496425,259,276.654539
815.614378,230,277.825021
897.86121,243,285.385376
625.159195,156,286.209248
808.327859,226,287.408119
552.620887,141,288.197329
806.550233,226,289.341684
583.854753,149,290.100161
981.994711,268,291.557369
845.627882,232,292.779586
998.382138,270,294.131908
892.421745,243,295.433921
928.655525,260,303.137863
818.03091,228,304.364929
813.299708,224,305.553253
661.042264,164,306.392436
794.157886,221,307.519217
929.010181,251,308.808116
569.023155,145,309.529491
815.868872,226,310.685997
804.857025,225,311.818008
813.079927,229,319.355397
680.486319,167,320.193273
814.618757,225,321.30554
961.926231,266,322.743305
808.758258,223,323.90834
812.163872,227,325.074559
815.742118,229,326.282877
829.769817,230,327.455974
895.626905,249,328.74123
795.952196,222,336.339411
932.728312,262,337.683743
827.340881,231,338.925635
554.931248,142,339.672969
810.705709,224,340.830027
823.714464,228,342.057588
936.60098,253,343.369628
800.493704,220,344.542728
819.452827,224,345.746803
840.510949,238,346.971386
787.758204,219,354.526639
850.642552,232,355.724116
840.478543,235,356.958866
938.296269,256,358.24969
862.447006,236,359.517054
909.438852,252,360.900746
814.431955,226,362.050394
950.736472,263,363.431773
816.771631,224,370.96413
851.262739,237,372.219637
813.841433,225,373.421768
931.114265,259,374.723876
898.630213,246,376.023849
946.097344,255,377.340741
822.802062,227,378.535644
555.926224,142,379.321339
831.909601,229,380.555718
854.118077,238,388.102886
807.252849,224,389.269522
812.506786,227,390.485561
815.39801,222,391.660852
1008.439729,268,393.00397
804.857522,221,394.219968
836.904242,233,395.463087
803.942932,221,396.580826
950.982546,263,397.907043
894.100985,249,405.574974
816.811023,226,406.808694
969.867824,264,408.161651
957.110434,264,409.485999
828.236136,229,410.723498
851.611635,236,411.931546
935.231902,260,413.293926
811.116629,227,414.514935
813.899906,228,422.16725
842.486517,234,423.432464
831.418833,228,424.576214
947.092514,262,425.919182
827.601921,228,427.14351
846.032498,237,428.501027
897.85323,249,429.895811
874.378945,243,431.150179
915.904918,255,432.512451
914.106246,254,440.224428
813.245614,220,441.517787
823.401637,225,442.81321
806.545767,223,444.152104
822.571192,226,445.511003
902.089046,245,446.910346
814.814446,224,448.230239
799.938821,218,449.537373
819.944265,225,450.837909
845.013243,234,458.828778
819.391982,226,460.130005
946.424463,263,461.688466
824.195114,228,463.026022
988.460326,267,464.507525
823.832365,224,465.676195
812.929151,225,466.852988
806.27753,222,468.005738
817.859162,226,475.592673
830.106453,229,476.781905
827.544322,226,477.977241
847.932604,231,479.195873
807.469332,221,480.33678
811.898581,224,481.511278
939.699685,261,482.828021
925.578323,257,484.170275
885.963629,244,485.472787
940.044935,261,493.121815
957.767175,265,494.473267
820.786396,225,495.612717
880.346765,243,496.882502
807.894518,221,498.056211
857.07723,235,499.320113
804.523243,219,500.497346
815.405356,224,501.731369
815.742245,222,502.910205
951.313393,263,510.538617
814.750486,223,511.675314
932.910801,248,512.952705
934.04052,258,514.290876
831.161913,228,515.500596
860.847354,239,516.767616
820.536634,223,517.97375
956.243648,263,519.333691
823.673152,229,526.913994
951.661696,260,528.278357
805.91303,220,529.441083
817.508717,227,530.685097
831.132217,231,531.94017
852.349559,234,533.121531
930.335973,259,534.44417
927.713011,256,535.776158
815.656796,225,536.961354
1072.502738,275,544.69441
813.406609,225,545.911521
926.563576,252,547.234895
812.915041,221,548.374787
835.324102,232,549.622849
832.986826,231,550.800148
961.548259,265,552.165514
846.380145,233,553.380537
825.883105,228,561.128711
927.852595,257,562.460258
924.617771,258,563.840676
819.295755,224,564.986062
923.405036,258,566.288555
846.103678,234,567.508119
939.303925,261,568.882471
945.408867,261,570.269502
946.451276,261,571.601537
812.29876,222,579.100924
911.512692,253,580.429101
947.937517,261,581.739995
921.826053,248,583.043993
831.190814,230,584.262542
940.702865,260,585.677998
930.769311,258,587.023399
933.030231,260,588.311676
812.655681,224,595.704382
822.484082,228,596.896594
831.66494,228,598.090298
944.506498,262,599.449664
918.926063,256,600.797633
935.213559,259,602.138699
806.274035,221,603.220164
934.934905,260,604.581159
938.519961,261,612.256928
916.010867,256,613.530043
926.309124,258,614.868349
924.700699,257,616.172489
849.405299,234,617.381879
916.224586,255,618.711585
1020.800584,271,620.154728
929.538614,258,621.489763
832.430319,229,629.00181
806.782554,222,630.160593
884.478283,242,631.403969
885.480051,242,632.638506
888.960977,244,633.919861
935.246447,258,635.223866
924.574573,257,636.517219
812.906168,225,637.703303
947.191652,253,639.047721
937.485883,260,646.677666
949.421202,260,648.022815
930.666297,257,649.31838
1026.003245,270,650.708466
938.49334,259,652.070626
827.739974,228,653.256963
815.979128,222,654.397348
940.895338,260,655.700842
925.374817,257,663.357678
913.313695,251,664.61798
820.129223,226,665.809644
910.300929,251,667.08831
828.217492,232,668.292545
930.514429,257,669.617293
847.642127,235,670.841505
869.302554,240,672.077586
991.450729,267,679.885039
845.456274,232,681.1059
942.546142,261,682.473509
849.058216,235,683.732266
921.447028,257,685.035133
937.269167,260,686.357061
813.628206,222,687.501849
938.929781,260,688.804382
835.21257,230,696.295564
883.687409,239,697.557731
976.299032,265,698.975865
944.23402,261,700.280221
913.164466,252,701.594377
968.242649,257,702.90684
821.743341,226,704.059391
845.518826,233,705.277777
835.130387,230,706.466746
935.405139,258,714.126625
832.694581,231,715.317177
899.675723,245,716.554832
829.743911,230,717.759985
816.601743,225,718.951773
916.738195,251,720.220423
950.545551,262,721.622757
833.610759,230,722.808757
