#{"t_start": 1773411519.7727692, "env_id": "None"}
r,l,t
3551.583119,449,8.751789
7136.973407,915,13.535024
3329.428371,419,15.788247
7300.218776,1000,27.462903
4923.517928,623,30.832019
2388.569311,311,32.465105
7722.05285,1000,44.066543
7764.097452,1000,49.294724
6998.478913,895,60.29273
4321.302379,614,63.6115
4630.396694,590,66.763932
4533.675785,570,76.135369
4488.354146,563,79.225693
7126.502662,920,84.177478
4636.084377,592,93.822539
6643.767072,901,98.643477
4854.799519,619,102.042131
4787.731914,619,111.616727
6946.635849,942,116.734017
4506.967571,569,119.826617
2307.438068,301,127.74128
5136.476088,686,131.458725
4816.472406,606,134.715581
4859.915029,605,137.960007
4484.070684,556,147.306768
5110.004401,642,150.962046
7102.527953,893,155.935247
4877.044188,615,165.717229
4706.825189,594,168.790232
6900.280197,865,173.478458
4610.523113,573,182.619413
4525.086806,555,185.593889
5080.603091,626,188.979325
4750.512768,592,198.595414
7882.51623,1000,204.41469
8048.732118,1000,217.403242
3401.754688,412,219.916094
4651.030411,577,223.231179
4858.904368,603,226.842473
7950.093877,1000,239.58884
4631.190308,572,242.961254
4464.095986,551,246.273937
7193.47985,897,257.919966
7179.205617,891,262.858886
7345.375236,901,273.971048
7496.990676,924,279.121858
2353.164926,288,280.67099
8161.538191,1000,292.481044
2588.209502,339,294.41356
7372.547201,908,299.437782
8125.558067,1000,311.077246
2518.885758,313,312.761674
8191.24239,1000,324.431
6408.200547,778,328.786064
7459.520389,904,333.837138
3697.429407,449,342.65798
5537.494228,670,346.238289
6452.804792,786,350.513629
4903.605981,594,360.040324
8268.289106,1000,365.504703
4892.622907,594,368.802516
4789.638642,585,378.370151
8065.519277,994,383.889023
7378.523565,894,395.041523
8264.487752,1000,400.54905
8245.215062,1000,413.033436
6967.975213,887,417.76784
8283.797018,1000,423.124981
7382.535783,897,434.460955
5231.891597,640,437.969173
7528.772212,941,449.489589
6188.67991,749,453.836127
8351.700939,1000,465.840662
3573.778655,427,468.398026
7496.816275,908,473.350096
5920.841985,710,483.769057
4804.711693,575,487.224243
5003.144034,604,490.535328
5014.072801,614,494.066002
8314.052783,1000,505.924696
5340.727016,642,509.547791
7324.796161,882,521.074265
7432.96281,895,526.424178
8289.281672,1000,539.311709
8311.7626,1000,545.272163
8338.742168,1000,558.673632
8288.188651,1000,564.718591
8374.538381,1000,577.785941
7379.571468,885,582.815244
8359.631096,1000,588.829367
8389.210518,1000,601.071233
7610.643363,914,606.414717
8384.172511,1000,618.289038
6678.325515,795,622.627592
5659.940646,680,633.123051
8359.728194,1000,638.633121
8374.958159,1000,650.624987
4943.629931,595,653.89988
7392.562845,887,658.95399
8369.163384,1000,670.869562
7471.998331,897,675.972506
7601.253692,917,687.326558
6890.952421,816,691.934691
8416.762492,1000,703.805734
7637.758258,908,708.995508
8394.202568,1000,714.60895
6392.085953,762,725.06863
6237.849658,742,729.23862
