#{"t_start": 1773410249.6661277, "env_id": "None"}
r,l,t
359.533136,54,11.92208
386.670834,65,12.317364
396.751511,68,12.743706
286.195792,50,13.057591
385.414801,66,13.507608
433.106383,72,13.994395
309.44931,51,14.334902
305.460963,56,14.711709
348.815039,62,15.117816
260.21988,51,15.459177
366.398368,60,15.856803
620.986864,91,16.412125
514.039134,83,16.94953
290.672692,54,17.290519
275.648724,50,17.623017
363.923138,66,18.031779
382.715005,66,18.426565
521.380192,82,18.949145
297.9303,50,19.249774
319.656673,53,19.59989
350.29474,54,19.962237
329.244575,58,20.323575
240.506683,48,20.621801
480.742788,77,21.105113
299.719067,49,21.435118
393.719163,62,21.838941
345.415557,58,22.161835
606.155997,95,22.717671
431.397921,68,23.129513
321.067599,57,23.499003
1725.108796,246,31.461565
320.197436,57,31.841917
399.633315,72,32.322957
359.084461,63,32.739226
396.892059,72,33.180577
754.652869,104,33.809161
503.816229,77,34.315522
383.577014,65,34.715637
551.749161,80,35.219052
284.594339,54,35.572326
650.727105,102,36.23117
606.184842,94,36.857334
478.856062,79,37.363909
364.441503,64,37.769264
305.019431,50,38.085313
365.547328,68,38.515461
394.800131,62,38.926187
845.450013,121,39.649537
365.94765,66,40.091855
400.731007,62,40.536937
273.837206,51,40.855767
420.948322,71,41.331321
285.003437,50,41.645285
391.760822,69,42.065541
497.881509,83,42.610458
333.001194,57,43.003963
411.385779,67,43.449579
470.109451,78,43.984214
