#{"t_start": 1773330091.7304614, "env_id": "None"}
r,l,t
824.045794,236,472.780222
807.746491,232,474.024564
872.065354,257,475.345565
869.525529,256,476.690697
876.62226,251,484.262958
864.573748,253,485.522181
890.872828,271,486.922887
801.125554,225,488.074345
792.935112,228,489.265717
861.920476,258,490.64867
864.702401,259,492.046816
858.571743,261,493.425486
790.999841,227,500.885145
863.998691,255,502.156339
862.475078,259,503.455757
811.116015,232,504.651219
798.455363,227,505.874115
873.661862,261,507.230602
800.866664,232,508.445426
868.386102,262,509.766799
796.508468,230,510.945249
823.979319,237,518.430867
857.929486,257,519.700297
866.407007,253,521.013615
802.08808,235,522.264269
890.826071,273,523.664475
798.305564,233,524.867774
794.752234,227,526.024985
864.777993,259,527.348002
790.623877,226,534.767935
810.926017,233,535.992395
868.429895,253,537.385615
820.707904,236,538.566597
873.524345,255,539.907736
805.073754,231,541.13138
786.565501,223,542.306955
863.727153,253,543.557709
860.73088,258,551.168608
835.746556,243,552.390784
870.250013,262,553.735233
802.133942,227,554.879263
846.924904,246,556.16663
862.317363,260,557.448719
865.311404,253,558.718363
789.224693,229,559.82738
873.723087,255,561.183247
889.732521,268,568.75495
785.673709,219,569.778833
866.630999,264,571.026761
874.11486,252,572.243948
861.961969,254,573.547584
811.311054,238,574.789516
788.472123,225,575.910978
806.032155,231,577.103504
812.520552,235,584.574173
873.359594,254,585.920892
869.85246,255,587.169263
867.14563,259,588.452946
870.143703,249,589.763761
838.427594,246,591.06041
785.528513,221,592.183228
836.123077,245,593.458993
820.402461,238,594.71383
802.134889,229,602.245621
804.077207,234,603.455969
809.535709,230,604.688012
869.912536,254,605.99942
847.056627,251,607.315954
867.238503,264,608.663081
870.894739,249,609.971335
805.122572,226,611.112277
876.837979,252,618.825024
862.400528,259,620.167293
864.932629,256,621.505535
806.910188,230,622.736517
871.52185,256,624.062661
891.674943,252,625.351122
806.878361,231,626.632656
863.947346,260,628.243774
867.644004,252,636.24898
896.848614,251,637.550804
818.386588,233,638.702851
875.312541,251,640.043407
865.540318,260,641.411881
869.369798,256,642.943656
869.256093,256,644.360826
873.673814,250,645.66984
787.015432,227,653.654804
871.206926,256,655.022481
875.792407,255,656.478543
869.522142,250,657.737146
860.255219,264,659.173471
860.118655,260,660.612215
864.784669,265,662.014786
872.517052,258,663.363541
866.811179,257,671.193738
875.018551,258,672.52564
874.282333,257,673.836618
869.442086,259,675.248724
789.336958,223,676.322908
874.155001,265,677.665468
869.421793,257,679.000641
867.993871,262,680.337342
869.715989,260,688.372926
867.003759,260,689.828505
859.082822,259,691.27721
867.044585,261,692.685624
868.728867,252,694.054888
802.447455,226,695.277588
879.139022,255,696.689047
869.66822,251,698.056273
814.679551,231,699.359331
817.219407,230,707.07847
876.005645,258,708.476355
817.505266,231,709.715683
866.697334,259,711.155494
883.595363,264,712.575978
874.253765,260,714.141581
793.078176,223,715.478995
882.222525,254,716.952528
