#{"t_start": 1773415664.8985004, "env_id": "None"}
r,l,t
49.225632,41,3.260778
72.878996,52,3.625022
79.009063,54,3.99341
103.203469,54,4.381932
1504.408697,262,6.13187
46.187012,39,6.451528
101.330908,54,6.83222
1148.719377,278,8.841438
108.508664,64,9.308115
44.606056,38,9.608289
46.195405,39,9.970909
67.710307,48,10.324718
1586.92757,340,12.363433
86.346172,56,12.697535
75.924301,51,13.032885
75.398309,52,13.382987
180.530421,79,13.919077
1108.988958,351,16.263876
837.108518,203,24.030723
1243.125411,328,26.227611
933.631763,280,28.11882
814.775862,280,29.917861
1716.523559,335,32.310755
47.206766,38,32.568495
42.297605,36,32.835645
830.780038,277,34.692068
1974.307984,415,43.725054
42.96513,36,43.927531
44.752697,37,44.154794
918.095396,209,45.410426
348.723595,127,46.208027
47.679267,38,46.427265
1342.755607,200,47.776545
855.896195,298,49.612193
946.874652,281,51.484686
53.127072,40,51.762792
575.011222,203,53.071482
192.145372,79,53.64075
807.035911,280,55.69633
42.298502,36,55.997948
82.822264,47,56.4176
1159.705628,337,64.706267
41.956764,36,64.991086
748.671992,242,66.503906
225.465646,87,67.085931
851.997933,281,69.097665
165.497159,73,69.585891
825.566005,280,71.489663
220.162354,87,72.029412
42.485602,36,72.242722
838.039622,277,74.100878
221.968743,86,74.649423
1206.583161,281,76.599202
1967.28739,595,86.708775
807.4348,276,88.522533
447.161902,157,89.493835
341.836372,114,90.222842
833.810029,280,92.125377
45.092468,37,92.371575
340.349551,112,92.957691
346.75532,117,93.714382
44.655554,37,93.955642
45.000554,37,94.211951
47.40554,38,94.459707
44.501407,37,94.691439
51.73486,39,94.927359
244.113072,92,95.491058
63.031569,43,95.761539
312.982037,83,102.454665
85.558706,48,102.767201
47.808325,38,103.026784
63.87341,43,103.319684
1061.190884,281,105.252489
785.108409,277,106.989231
77.789501,46,107.244914
59.760333,42,107.490074
46.644668,37,107.758579
1892.590095,591,111.306724
817.680457,277,113.089303
1057.772473,250,114.776587
327.784739,114,121.697149
321.543866,113,122.415591
805.152895,276,124.253273
389.329186,128,125.051309
51.071369,39,125.299685
810.308511,277,127.028934
435.618257,148,127.934705
751.373409,264,129.517754
597.287902,211,130.805235
158.909715,59,131.240013
1141.723879,376,133.576914
109.760352,52,133.893984
50.768157,39,134.150138
229.691916,69,140.852634
1007.164498,330,142.756195
334.68364,118,143.432359
44.708903,37,143.685837
45.482073,37,143.955273
320.549436,115,144.593689
370.896813,130,145.380864
2574.041069,521,148.921793
802.152408,280,150.806454
72.211449,45,151.166621
813.277132,278,152.841035
860.248106,278,161.378196
503.206205,179,162.685943
1288.817796,413,165.796755
483.591537,177,166.96091
848.63453,281,169.2287
79.082076,46,169.500003
199.652784,81,170.031871
1230.508948,276,172.28488
812.067577,278,174.185874
220.176731,87,174.767307
45.169428,37,175.063526
482.645783,184,182.596807
1949.114551,416,185.214864
707.547678,237,186.837064
49.903371,39,187.09146
804.389553,278,188.836437
52.64418,40,189.074156
47.219846,38,189.314286
48.159491,38,189.592237
2166.956246,522,192.869032
47.007098,38,193.211995
47.674482,38,193.463655
84.574893,48,193.757572
46.792452,38,193.995095
505.425833,187,201.439662
61.998854,42,201.703388
51.21171,39,201.996484
50.171872,39,202.26527
366.936743,122,202.924665
751.23945,208,204.281541
1067.988489,204,205.589643
391.940552,127,206.335963
655.711735,208,207.598202
747.79391,277,209.170687
739.395597,261,210.755767
3305.686195,567,220.472202
597.829685,210,221.715165
2616.500805,594,225.5289
53.363778,40,225.781708
1016.984764,228,227.206976
827.392393,280,229.109388
48.199954,38,229.392947
1762.93734,413,231.852564
359.113944,124,232.637053
81.097285,47,239.204575
50.532032,39,239.491029
1023.521868,333,241.549075
2622.79121,692,245.860409
882.86265,277,247.529531
47.931605,38,247.849354
673.782771,243,249.170352
50.845107,39,249.412605
332.532565,92,250.024293
49.87766,39,250.299617
819.142477,277,258.549708
51.653293,39,258.825622
57.349455,41,259.088476
361.921179,117,259.778425
52.234892,39,260.050165
607.465701,210,261.405755
411.277189,138,262.257876
443.334195,151,263.100233
977.843768,328,265.125466
474.649617,164,266.06569
800.747401,278,267.792044
1451.779512,259,269.399205
86.221606,48,269.732427
368.101698,123,270.477606
805.87389,277,278.733756
827.813147,278,280.438672
497.869872,181,281.424019
985.690264,278,283.424781
618.739875,206,284.95369
855.188411,281,286.885702
822.027868,280,288.70064
56.262987,41,288.972711
2485.371699,586,298.911849
50.69564,39,299.16306
77.498436,45,299.467211
498.144132,180,300.590987
836.48851,278,302.581989
1754.665799,334,304.75952
77.404999,46,305.035292
828.852961,280,306.842859
587.221341,200,308.298681
52.317787,40,308.575046
595.051845,205,310.096362
390.229145,133,317.151732
560.212059,197,318.324271
52.043159,40,318.595205
50.228024,39,318.833793
50.293968,39,319.073225
830.060432,278,320.89222
834.824862,277,322.56539
320.375636,112,323.32628
846.437662,262,325.12086
52.969018,40,325.39172
77.970143,46,325.692797
50.029976,39,325.938425
51.759727,39,326.206115
50.99451,39,326.488886
390.632893,128,327.264347
1797.221667,342,329.356556
473.206183,163,336.729428
837.283324,280,338.538624
742.521863,268,340.068869
53.573493,40,340.325517
409.144535,132,341.101835
3025.563727,906,346.529737
68.49863,44,346.818285
823.502173,280,348.855047
422.95691,137,356.13423
288.031451,89,356.635685
362.585328,118,357.383082
798.20474,270,359.065688
353.913863,113,359.697594
84.842739,48,359.962313
3652.466595,678,363.920843
67.170337,43,364.231257
384.121577,123,364.865898
819.156316,277,366.635
346.653761,103,367.211557
53.63558,40,367.465167
64.674965,43,367.737914
302.132485,101,374.699048
55.764418,41,375.017796
58.06853,41,375.278727
834.067427,278,377.019104
111.206209,53,377.356897
325.747361,106,378.016311
358.887749,116,378.713218
802.630232,277,380.358019
802.754401,277,382.050925
340.425611,114,382.849585
1504.439203,280,384.509562
1061.702451,224,385.88974
56.251563,41,386.158451
664.522429,205,393.574313
82.947065,48,393.869534
665.934218,220,395.216579
1484.257582,388,397.592585
1058.613134,277,399.384593
337.171845,112,400.126149
96.715069,50,400.461409
839.868864,277,402.177054
379.231087,124,402.960673
612.63267,209,404.193702
86.055061,48,404.518567
636.918395,213,405.881526
297.921968,96,412.831335
1468.223552,276,414.592529
353.046716,115,415.338499
70.007141,44,415.584047
57.654181,41,415.848857
65.907285,44,416.142811
59.313529,42,416.465618
785.290647,277,418.133904
118.0378,54,418.473991
346.858917,114,419.118627
1173.692404,274,420.777514
69.820671,45,421.107847
850.013022,278,422.883997
90.732393,49,423.193212
370.642338,123,423.935809
65.0283,43,424.257965
176.309146,66,424.609756
330.005835,109,431.635876
300.760313,103,432.262396
1082.222775,340,434.422326
344.085084,113,435.142721
97.546371,51,435.450503
59.244049,42,435.734922
75.840995,46,436.070841
826.480334,277,437.795815
2746.564738,594,441.695306
228.823377,81,442.205444
1476.280469,442,451.266941
818.839324,276,452.991047
798.886781,274,454.582573
341.773935,116,455.188155
80.125712,47,455.462453
359.92996,115,456.330342
97.358267,51,456.671019
798.627354,265,458.200268
57.03495,41,458.530193
381.639915,124,459.317261
827.47862,280,460.996568
834.430201,276,462.663244
1337.703577,193,469.984022
915.001853,277,471.729373
68.275695,44,472.065281
392.991442,131,472.768867
105.830143,53,473.047691
60.971807,42,473.32561
67.766294,44,473.643679
835.687004,278,475.340399
59.845879,42,475.618484
2225.671718,607,479.201415
1878.502007,360,481.319429
940.069571,280,489.402019
83.60345,48,489.718603
144.828851,60,489.990515
3129.87731,917,495.634435
105.517126,52,495.997536
80.628379,47,496.300875
60.179663,42,496.560581
74.310454,46,496.852425
57.783757,41,497.124329
345.945893,123,497.81621
64.209313,43,498.107142
612.289969,222,499.437421
1291.549601,281,507.553155
90.143849,49,507.919405
242.062569,88,508.447785
67.442481,44,508.720431
85.296606,48,508.997732
376.94135,128,509.726727
68.110572,44,509.991066
152.374473,62,510.395705
722.699511,192,511.483705
74.265348,46,511.758894
122.803029,56,512.086292
764.940319,257,513.650474
802.498726,269,515.280501
427.062398,146,516.112588
870.375277,277,517.799332
60.104377,42,518.132654
63.252318,43,518.406875
854.370796,278,526.412209
902.831959,258,527.769763
218.221799,81,528.250518
383.600327,123,529.006309
83.101976,48,529.328756
304.746318,108,529.974939
424.017141,140,530.703709
914.753427,278,532.449698
73.747747,45,532.775515
74.308524,46,533.083008
73.776464,45,533.339189
861.456776,277,535.007527
307.880472,108,535.699677
480.46487,182,536.843717
841.282056,278,544.833459
806.356138,246,546.651536
64.050294,43,546.91235
3244.438299,642,550.78517
862.146906,268,552.436343
67.074742,44,552.72135
65.447626,44,553.052509
1353.839977,392,555.395396
98.88311,51,555.690637
79.334478,46,555.941536
863.891285,256,563.690994
131.206268,58,564.133487
340.61624,119,564.869943
862.030472,277,566.636906
1495.507666,277,568.416662
93.11505,50,568.729416
864.459765,272,570.290188
262.006508,96,570.851853
65.03142,43,571.141368
855.354775,276,572.867758
593.113667,194,573.975217
962.0277,308,575.733954
1389.689263,337,583.853204
138.869318,59,584.22105
3356.076692,594,587.828207
368.489717,126,588.603438
820.826564,278,590.257078
945.393244,277,592.001631
829.737615,278,593.643617
2693.40886,646,603.667478
817.284443,263,605.236324
617.678208,206,606.64071
178.333807,68,607.045238
823.887639,280,608.900587
3466.814027,1000,621.223256
842.10131,277,623.027933
863.632732,274,624.836551
483.338091,178,625.933052
2708.914607,595,629.838129
823.097395,270,631.638561
170.342954,67,632.046499
506.1261,181,639.556039
834.909157,277,641.306177
839.977658,278,643.148964
385.10984,130,644.004509
833.9611,278,645.8777
2374.089507,595,649.810481
617.689747,204,651.196361
663.266698,219,658.768816
61.63799,42,659.063397
88.545655,49,659.360436
897.732101,277,661.102983
300.541375,106,661.859643
1427.923615,280,663.71462
866.851023,280,665.606788
578.490579,201,666.957269
65.067855,43,667.205557
1949.998181,591,671.336049
225.875466,80,671.829988
1525.788833,274,679.803907
519.127001,175,680.976348
755.845203,251,682.769814
1083.263781,344,684.974787
3373.805755,592,688.817776
863.448987,277,690.61438
2096.597852,560,700.630545
509.909784,189,701.807704
1312.997427,281,703.514452
93.747599,50,703.875122
841.854102,277,705.540583
86.13976,48,705.879302
1025.516121,332,708.173002
250.371781,94,708.720096
396.978404,134,709.536654
2377.043979,636,719.957624
291.134106,103,720.695754
60.148671,42,720.959078
800.58435,247,722.475771
82.362705,47,722.779595
57.685494,41,723.099575
56.55275,41,723.439362
76.196014,45,723.790287
866.372644,280,725.810803
114.922874,55,726.282622
