#{"t_start": 1773415664.8985004, "env_id": "None"}
r,l,t
310.38593,109,727.260369
300.670518,106,727.984606
59.939949,42,728.270107
78.05614,46,728.691401
594.651314,193,730.068924
72.778364,45,730.383713
81.985527,47,730.698988
107.022991,53,731.064974
742.778242,254,739.093992
60.34619,42,739.399265
972.705276,278,741.122249
63.102097,43,741.427854
344.594637,117,742.233287
176.119344,68,742.667158
111.090812,53,743.014161
2816.619781,592,746.774947
66.413924,43,747.035044
305.908705,109,747.788765
77.528701,46,748.093167
471.770359,178,749.101183
67.336338,44,749.417165
2085.939795,594,759.568881
1615.166851,427,762.588454
481.160553,159,763.595665
71.774296,45,763.882158
1175.080925,234,765.439608
495.568198,182,766.510799
117.158765,55,766.841975
876.286273,281,768.686997
57.21357,41,768.930566
845.343052,278,770.768377
208.571563,83,771.248691
60.598062,42,777.795446
884.972576,277,779.540322
824.692491,278,781.255998
863.650865,281,783.187966
994.51655,246,784.788919
76.851228,46,785.045032
933.34761,279,786.808652
852.517235,280,788.554534
136.236063,59,788.907218
1100.483036,277,790.674845
